policy_id,customer_age,region_code,region_density
POL002411,41,C9,17804
POL036330,38,C3,4076
POL009714,39,C1,4990
POL054274,54,C8,8794
POL032074,42,C3,4076
POL009690,46,C8,8794
POL041520,35,C5,34738
POL031503,45,C2,27003
POL002146,50,C5,34738
POL049207,60,C8,8794
POL019496,49,C14,7788
POL035528,35,C3,4076
POL032100,44,C8,8794
POL056044,50,C8,8794
POL040300,52,C8,8794
POL035756,45,C8,8794
POL006653,48,C11,6108
POL045257,44,C5,34738
POL001657,40,C5,34738
POL024685,51,C13,5410
POL043323,43,C19,27742
POL048214,43,C8,8794
POL014273,38,C15,290
POL007581,46,C5,34738
POL002547,47,C5,34738
POL054198,39,C9,17804
POL011585,38,C10,73430
POL034108,52,C7,6112
POL013898,35,C10,73430
POL030535,47,C5,34738
POL025111,44,C8,8794
POL054165,36,C8,8794
POL042279,54,C19,27742
POL052974,43,C8,8794
POL047539,51,C2,27003
POL004997,60,C9,17804
POL034433,39,C2,27003
POL046620,39,C5,34738
POL048655,41,C8,8794
POL013747,45,C2,27003
POL019335,47,C9,17804
POL008081,45,C3,4076
POL041982,54,C6,13051
POL010184,59,C14,7788
POL041633,44,C19,27742
POL011733,40,C2,27003
POL050668,42,C14,7788
POL053188,47,C1,4990
POL031197,45,C4,21622
POL023567,41,C15,290
POL001048,43,C14,7788
POL054712,35,C11,6108
POL000718,45,C9,17804
POL012776,37,C8,8794
POL025633,46,C2,27003
POL016861,43,C1,4990
POL035578,48,C9,17804
POL006585,41,C2,27003
POL000094,42,C2,27003
POL010721,42,C10,73430
POL045408,37,C8,8794
POL027490,49,C6,13051
POL019788,36,C3,4076
POL015734,50,C19,27742
POL026470,48,C5,34738
POL035895,49,C8,8794
POL008967,49,C14,7788
POL036854,40,C3,4076
POL003536,46,C10,73430
POL010743,52,C8,8794
POL038091,44,C2,27003
POL020624,39,C4,21622
POL048930,40,C16,16206
POL051903,40,C5,34738
POL042823,35,C14,7788
POL028809,40,C5,34738
POL057713,37,C2,27003
POL011978,38,C8,8794
POL028898,51,C3,4076
POL020582,47,C19,27742
POL045739,63,C8,8794
POL018509,44,C1,4990
POL010348,45,C3,4076
POL028137,37,C18,35036
POL046732,35,C18,35036
POL033744,48,C2,27003
POL032848,54,C5,34738
POL037281,40,C5,34738
POL035255,39,C18,35036
POL011338,44,C13,5410
POL015607,44,C2,27003
POL029145,44,C2,27003
POL050945,46,C6,13051
POL044148,36,C8,8794
POL057522,64,C8,8794
POL031648,44,C15,290
POL002851,59,C8,8794
POL052844,50,C5,34738
POL029146,43,C3,4076
POL010299,44,C8,8794
POL048178,44,C8,8794
POL025305,43,C3,4076
POL039863,43,C2,27003
POL044885,43,C5,34738
POL017253,35,C21,3264
POL036624,40,C5,34738
POL047287,45,C5,34738
POL053996,45,C14,7788
POL010329,44,C8,8794
POL015561,50,C12,34791
POL036256,35,C8,8794
POL032154,46,C10,73430
POL011376,42,C10,73430
POL028407,53,C12,34791
POL004957,36,C13,5410
POL028192,43,C7,6112
POL042186,39,C3,4076
POL010117,37,C9,17804
POL013320,36,C5,34738
POL045396,35,C14,7788
POL051984,44,C7,6112
POL040286,48,C2,27003
POL037543,49,C12,34791
POL041255,40,C2,27003
POL009024,45,C3,4076
POL044271,60,C8,8794
POL043300,57,C9,17804
POL039696,41,C9,17804
POL018920,45,C8,8794
POL009327,39,C2,27003
POL030206,40,C13,5410
POL045304,38,C3,4076
POL025163,54,C3,4076
POL026051,43,C5,34738
POL025987,44,C3,4076
POL054865,36,C2,27003
POL001838,44,C8,8794
POL039161,40,C6,13051
POL047763,60,C10,73430
POL033907,50,C8,8794
POL012894,42,C8,8794
POL001775,46,C5,34738
POL042994,41,C2,27003
POL015898,44,C2,27003
POL012956,54,C9,17804
POL023160,37,C13,5410
POL048575,50,C2,27003
POL029767,54,C8,8794
POL007147,45,C2,27003
POL029743,52,C11,6108
POL040443,45,C3,4076
POL034346,58,C5,34738
POL005568,40,C3,4076
POL056187,54,C2,27003
POL047292,48,C2,27003
POL021930,52,C8,8794
POL011055,39,C3,4076
POL002515,36,C8,8794
POL051555,35,C10,73430
POL031549,36,C13,5410
POL033280,40,C3,4076
POL013249,48,C22,16733
POL004305,55,C8,8794
POL025810,37,C5,34738
POL030007,40,C8,8794
POL058303,63,C14,7788
POL000273,39,C12,34791
POL029033,37,C3,4076
POL033295,40,C12,34791
POL026030,39,C2,27003
POL029634,48,C2,27003
POL047904,43,C3,4076
POL038258,39,C3,4076
POL019023,40,C7,6112
POL004553,39,C15,290
POL002820,37,C2,27003
POL026147,39,C13,5410
POL016862,43,C5,34738
POL032364,40,C6,13051
POL000973,49,C2,27003
POL037692,44,C5,34738
POL008957,39,C10,73430
POL004142,36,C9,17804
POL056563,37,C13,5410
POL051047,41,C5,34738
POL004456,45,C8,8794
POL010586,36,C13,5410
POL001142,35,C2,27003
POL041362,35,C2,27003
POL044474,42,C13,5410
POL043861,48,C5,34738
POL028691,39,C2,27003
POL038123,52,C5,34738
POL020272,35,C3,4076
POL055713,44,C2,27003
POL030333,47,C3,4076
POL030187,46,C10,73430
POL001703,36,C20,20905
POL006441,40,C13,5410
POL036472,45,C5,34738
POL029197,45,C8,8794
POL019180,52,C5,34738
POL003402,52,C2,27003
POL047031,41,C13,5410
POL019631,54,C11,6108
POL001010,43,C5,34738
POL005407,38,C3,4076
POL028131,48,C19,27742
POL028999,35,C7,6112
POL017783,44,C9,17804
POL050407,55,C2,27003
POL035399,53,C12,34791
POL034507,41,C7,6112
POL003953,39,C6,13051
POL034317,48,C8,8794
POL038248,35,C12,34791
POL008453,43,C5,34738
POL032888,57,C19,27742
POL030944,40,C6,13051
POL018599,48,C8,8794
POL057118,52,C9,17804
POL019732,35,C8,8794
POL023002,45,C12,34791
POL029032,58,C8,8794
POL008972,54,C14,7788
POL011504,39,C3,4076
POL037909,37,C8,8794
POL014886,44,C8,8794
POL003614,49,C14,7788
POL013163,35,C8,8794
POL053487,40,C19,27742
POL003908,36,C8,8794
POL050456,48,C2,27003
POL042373,37,C13,5410
POL036778,54,C11,6108
POL004253,48,C17,65567
POL023415,41,C11,6108
POL020812,43,C13,5410
POL050480,36,C8,8794
POL037430,49,C7,6112
POL002905,43,C3,4076
POL036802,43,C5,34738
POL035560,43,C14,7788
POL005904,44,C2,27003
POL039312,64,C15,290
POL053225,35,C8,8794
POL052246,49,C11,6108
POL013828,39,C7,6112
POL049200,44,C1,4990
POL048279,48,C3,4076
POL040448,41,C8,8794
POL003371,44,C11,6108
POL038088,35,C15,290
POL046335,37,C2,27003
POL041560,53,C12,34791
POL001499,49,C8,8794
POL016503,49,C2,27003
POL002731,45,C5,34738
POL013140,42,C2,27003
POL051019,49,C3,4076
POL049867,43,C10,73430
POL001200,41,C13,5410
POL023033,50,C3,4076
POL045715,36,C2,27003
POL018993,39,C19,27742
POL030028,54,C17,65567
POL058386,43,C5,34738
POL048134,47,C3,4076
POL014435,49,C2,27003
POL049468,56,C8,8794
POL051146,37,C2,27003
POL033389,47,C8,8794
POL042816,46,C8,8794
POL052414,62,C11,6108
POL052071,41,C13,5410
POL027909,36,C2,27003
POL021973,49,C3,4076
POL023554,35,C5,34738
POL034025,48,C8,8794
POL005162,56,C13,5410
POL007383,36,C7,6112
POL055255,41,C13,5410
POL026569,37,C2,27003
POL027477,40,C8,8794
POL040452,44,C14,7788
POL024280,39,C8,8794
POL001511,45,C11,6108
POL009920,48,C8,8794
POL019709,57,C15,290
POL017351,42,C4,21622
POL040352,54,C5,34738
POL042230,40,C17,65567
POL009484,43,C5,34738
POL029884,38,C3,4076
POL012758,44,C11,6108
POL006320,41,C7,6112
POL043099,43,C5,34738
POL053166,39,C2,27003
POL006440,40,C13,5410
POL040171,54,C14,7788
POL052387,39,C5,34738
POL017053,50,C8,8794
POL024343,48,C3,4076
POL002850,38,C9,17804
POL005199,57,C9,17804
POL043819,47,C10,73430
POL023173,35,C2,27003
POL032203,47,C5,34738
POL038795,41,C2,27003
POL004693,43,C13,5410
POL016576,37,C9,17804
POL043015,50,C1,4990
POL002976,54,C13,5410
POL056099,47,C11,6108
POL008269,45,C8,8794
POL043882,40,C13,5410
POL039622,40,C5,34738
POL013907,60,C8,8794
POL017914,54,C13,5410
POL023547,40,C2,27003
POL043969,48,C13,5410
POL021367,38,C10,73430
POL017444,45,C8,8794
POL013268,43,C3,4076
POL040065,47,C8,8794
POL009971,36,C2,27003
POL038831,50,C13,5410
POL014658,49,C8,8794
POL027506,43,C14,7788
POL013934,43,C2,27003
POL033872,39,C13,5410
POL056688,36,C16,16206
POL054780,58,C5,34738
POL033969,56,C11,6108
POL050853,60,C8,8794
POL006982,36,C5,34738
POL000601,40,C8,8794
POL003098,36,C8,8794
POL031639,43,C3,4076
POL019137,40,C9,17804
POL037326,40,C8,8794
POL033904,48,C5,34738
POL025340,41,C8,8794
POL045914,65,C8,8794
POL002695,43,C3,4076
POL032185,58,C17,65567
POL021279,39,C10,73430
POL045734,43,C1,4990
POL001314,47,C19,27742
POL004084,39,C3,4076
POL015730,49,C14,7788
POL006110,36,C12,34791
POL053099,42,C8,8794
POL011568,41,C15,290
POL009105,37,C14,7788
POL022131,40,C10,73430
POL009974,60,C8,8794
POL054512,53,C5,34738
POL042272,60,C5,34738
POL012512,35,C8,8794
POL055204,39,C13,5410
POL039318,43,C13,5410
POL046044,36,C2,27003
POL025410,66,C5,34738
POL000510,50,C14,7788
POL026292,40,C10,73430
POL052344,48,C3,4076
POL008324,57,C14,7788
POL016470,45,C2,27003
POL054739,36,C7,6112
POL048625,39,C17,65567
POL049539,43,C2,27003
POL012235,38,C14,7788
POL008382,42,C3,4076
POL002984,43,C5,34738
POL044740,52,C8,8794
POL039963,47,C14,7788
POL018231,39,C1,4990
POL004241,35,C1,4990
POL037555,50,C3,4076
POL006236,39,C7,6112
POL041601,40,C5,34738
POL000218,47,C2,27003
POL033247,53,C14,7788
POL014186,40,C14,7788
POL033468,45,C8,8794
POL043630,37,C8,8794
POL006214,36,C8,8794
POL055040,37,C9,17804
POL019014,53,C13,5410
POL050873,35,C8,8794
POL007463,41,C2,27003
POL031510,40,C8,8794
POL041757,53,C8,8794
POL052318,64,C3,4076
POL047003,47,C2,27003
POL018058,44,C12,34791
POL054231,37,C3,4076
POL008893,48,C8,8794
POL054071,37,C2,27003
POL035662,41,C12,34791
POL052729,39,C2,27003
POL017364,42,C10,73430
POL029097,45,C8,8794
POL052894,40,C8,8794
POL054397,41,C2,27003
POL017343,49,C8,8794
POL053169,39,C2,27003
POL036610,40,C5,34738
POL026818,47,C2,27003
POL012953,39,C8,8794
POL026461,50,C8,8794
POL006248,39,C9,17804
POL021963,59,C12,34791
POL048416,36,C2,27003
POL031962,36,C8,8794
POL056584,50,C11,6108
POL047305,60,C3,4076
POL007028,45,C5,34738
POL027258,51,C14,7788
POL009062,40,C19,27742
POL030300,50,C3,4076
POL014454,40,C2,27003
POL000051,37,C2,27003
POL018260,36,C5,34738
POL017514,50,C2,27003
POL031208,47,C8,8794
POL058171,41,C5,34738
POL005233,53,C3,4076
POL027221,37,C14,7788
POL044877,48,C5,34738
POL042693,40,C13,5410
POL016101,48,C8,8794
POL045170,58,C3,4076
POL057231,39,C2,27003
POL050659,40,C9,17804
POL018548,35,C8,8794
POL048642,40,C15,290
POL014929,40,C3,4076
POL043158,37,C1,4990
POL024289,44,C3,4076
POL011677,48,C12,34791
POL015158,37,C8,8794
POL025390,52,C8,8794
POL015175,47,C8,8794
POL004894,58,C5,34738
POL037533,39,C1,4990
POL049262,48,C12,34791
POL036601,44,C8,8794
POL012297,48,C2,27003
POL009878,40,C8,8794
POL054902,37,C2,27003
POL038552,35,C2,27003
POL037901,39,C8,8794
POL028781,42,C8,8794
POL053194,53,C16,16206
POL042437,50,C3,4076
POL028259,45,C3,4076
POL010005,35,C6,13051
POL042012,46,C5,34738
POL057357,56,C8,8794
POL025453,56,C2,27003
POL027378,41,C8,8794
POL012011,37,C13,5410
POL049607,50,C7,6112
POL018402,42,C5,34738
POL056618,54,C10,73430
POL050742,56,C8,8794
POL049624,42,C21,3264
POL028437,42,C3,4076
POL042149,51,C5,34738
POL015775,41,C10,73430
POL008000,41,C3,4076
POL044616,63,C10,73430
POL051956,44,C3,4076
POL023083,56,C5,34738
POL030063,57,C10,73430
POL000145,44,C7,6112
POL007873,43,C6,13051
POL040072,36,C8,8794
POL033486,41,C10,73430
POL048254,43,C5,34738
POL034231,48,C5,34738
POL011915,37,C5,34738
POL047343,45,C2,27003
POL004461,42,C8,8794
POL048241,60,C8,8794
POL019003,44,C8,8794
POL009389,43,C5,34738
POL025369,35,C8,8794
POL026296,39,C3,4076
POL025171,37,C8,8794
POL042389,52,C10,73430
POL000185,40,C8,8794
POL055436,42,C8,8794
POL008482,49,C9,17804
POL037309,39,C15,290
POL022795,43,C2,27003
POL012530,43,C5,34738
POL024064,40,C8,8794
POL047770,46,C2,27003
POL048879,41,C8,8794
POL036968,50,C16,16206
POL018645,45,C16,16206
POL056654,35,C8,8794
POL058039,39,C8,8794
POL016172,39,C7,6112
POL010974,45,C2,27003
POL027890,40,C10,73430
POL039038,45,C7,6112
POL021022,39,C3,4076
POL051860,47,C2,27003
POL045030,38,C5,34738
POL019169,48,C9,17804
POL056034,48,C8,8794
POL049424,46,C10,73430
POL039772,39,C19,27742
POL006927,64,C9,17804
POL010420,52,C5,34738
POL037837,40,C9,17804
POL022403,40,C14,7788
POL051775,35,C22,16733
POL003400,49,C8,8794
POL000977,45,C7,6112
POL031537,46,C2,27003
POL001786,43,C14,7788
POL029498,41,C10,73430
POL013040,47,C3,4076
POL018815,50,C7,6112
POL039433,35,C9,17804
POL002928,41,C8,8794
POL029646,59,C2,27003
POL037956,38,C6,13051
POL057767,56,C13,5410
POL012115,61,C8,8794
POL016696,55,C8,8794
POL031980,44,C2,27003
POL054455,60,C12,34791
POL050781,52,C5,34738
POL038922,43,C10,73430
POL034268,40,C10,73430
POL015099,52,C5,34738
POL044727,51,C8,8794
POL001193,50,C7,6112
POL002450,40,C8,8794
POL034860,35,C7,6112
POL023535,43,C19,27742
POL046137,44,C12,34791
POL000461,41,C22,16733
POL012238,51,C10,73430
POL042698,38,C10,73430
POL054490,37,C7,6112
POL017056,48,C17,65567
POL012745,35,C2,27003
POL056633,43,C3,4076
POL008847,35,C7,6112
POL024002,45,C13,5410
POL005596,45,C12,34791
POL056268,45,C10,73430
POL003737,52,C8,8794
POL011263,41,C8,8794
POL044669,44,C5,34738
POL014134,61,C9,17804
POL030016,42,C8,8794
POL001448,40,C21,3264
POL013342,53,C5,34738
POL050605,35,C8,8794
POL015738,39,C5,34738
POL033824,41,C8,8794
POL034013,39,C8,8794
POL002025,48,C1,4990
POL041180,45,C10,73430
POL019672,40,C14,7788
POL014927,36,C10,73430
POL004108,45,C2,27003
POL051829,59,C3,4076
POL004443,49,C8,8794
POL004355,62,C5,34738
POL027590,45,C16,16206
POL027330,43,C8,8794
POL015262,59,C5,34738
POL003413,36,C3,4076
POL040197,49,C17,65567
POL029886,42,C7,6112
POL040488,45,C5,34738
POL012269,35,C8,8794
POL027466,50,C5,34738
POL052104,41,C5,34738
POL052476,45,C8,8794
POL027705,43,C10,73430
POL004371,38,C2,27003
POL013983,37,C8,8794
POL024570,41,C2,27003
POL012584,35,C13,5410
POL019664,47,C8,8794
POL025592,48,C8,8794
POL040381,44,C8,8794
POL002914,64,C1,4990
POL016419,35,C8,8794
POL019726,52,C18,35036
POL000115,40,C8,8794
POL001435,35,C8,8794
POL028702,36,C6,13051
POL038160,59,C19,27742
POL024676,43,C2,27003
POL034007,56,C8,8794
POL026532,40,C8,8794
POL003246,40,C9,17804
POL043903,50,C8,8794
POL056918,40,C11,6108
POL042031,36,C2,27003
POL055720,44,C4,21622
POL045959,50,C8,8794
POL015463,54,C7,6112
POL038763,43,C8,8794
POL000332,45,C2,27003
POL054415,43,C2,27003
POL035144,39,C7,6112
POL050150,37,C8,8794
POL028073,54,C2,27003
POL043067,39,C5,34738
POL000190,40,C7,6112
POL031830,50,C3,4076
POL032421,43,C15,290
POL020519,49,C5,34738
POL016838,47,C8,8794
POL012838,48,C5,34738
POL025449,48,C8,8794
POL052378,57,C5,34738
POL018249,47,C8,8794
POL031987,49,C14,7788
POL001593,40,C5,34738
POL040152,40,C14,7788
POL051520,38,C3,4076
POL049726,44,C9,17804
POL049440,41,C13,5410
POL036717,46,C1,4990
POL020265,43,C7,6112
POL044789,39,C1,4990
POL041289,36,C3,4076
POL051708,48,C5,34738
POL004533,46,C5,34738
POL014401,43,C2,27003
POL033886,60,C8,8794
POL029095,49,C5,34738
POL035766,52,C12,34791
POL050638,38,C2,27003
POL017821,45,C7,6112
POL004637,47,C3,4076
POL045554,39,C16,16206
POL035691,66,C7,6112
POL006684,47,C8,8794
POL031779,41,C5,34738
POL023754,50,C5,34738
POL038443,54,C11,6108
POL033191,47,C2,27003
POL048712,45,C8,8794
POL051159,47,C10,73430
POL005553,43,C2,27003
POL008468,45,C5,34738
POL033079,37,C10,73430
POL026553,45,C12,34791
POL055177,40,C8,8794
POL003765,47,C5,34738
POL016184,49,C11,6108
POL018693,45,C8,8794
POL054300,39,C9,17804
POL037658,48,C5,34738
POL023688,39,C3,4076
POL030181,36,C2,27003
POL000786,48,C4,21622
POL031896,43,C2,27003
POL058534,42,C13,5410
POL023314,40,C7,6112
POL019926,39,C4,21622
POL021200,47,C3,4076
POL016328,52,C14,7788
POL053190,47,C3,4076
POL019453,57,C5,34738
POL022554,37,C8,8794
POL006588,36,C10,73430
POL058430,35,C3,4076
POL009417,39,C3,4076
POL047325,50,C2,27003
POL031765,47,C2,27003
POL022121,50,C7,6112
POL018544,45,C8,8794
POL021162,40,C15,290
POL014043,40,C3,4076
POL036619,39,C2,27003
POL002207,35,C3,4076
POL006384,40,C2,27003
POL033382,37,C3,4076
POL056720,35,C19,27742
POL026693,43,C10,73430
POL056046,53,C8,8794
POL057867,39,C5,34738
POL017728,47,C2,27003
POL042072,44,C5,34738
POL044735,58,C13,5410
POL047739,54,C3,4076
POL009222,57,C8,8794
POL014920,54,C8,8794
POL006340,45,C8,8794
POL031516,47,C9,17804
POL005757,37,C11,6108
POL053627,43,C2,27003
POL050608,41,C10,73430
POL053256,39,C2,27003
POL000554,40,C3,4076
POL037678,45,C14,7788
POL052466,52,C9,17804
POL032263,47,C21,3264
POL035320,40,C9,17804
POL036315,45,C3,4076
POL057891,48,C5,34738
POL056953,42,C3,4076
POL033356,45,C8,8794
POL032681,35,C9,17804
POL011620,47,C7,6112
POL023251,48,C5,34738
POL024410,38,C8,8794
POL036519,39,C14,7788
POL052189,53,C13,5410
POL035816,36,C17,65567
POL033360,48,C7,6112
POL035118,56,C8,8794
POL004473,50,C9,17804
POL042116,51,C12,34791
POL020937,48,C8,8794
POL002472,56,C3,4076
POL016945,56,C2,27003
POL019241,36,C8,8794
POL037663,40,C8,8794
POL038925,53,C15,290
POL015200,37,C5,34738
POL052959,35,C14,7788
POL020119,56,C11,6108
POL043834,38,C7,6112
POL052031,48,C5,34738
POL020169,45,C3,4076
POL036783,39,C5,34738
POL051303,42,C8,8794
POL046146,48,C8,8794
POL019101,40,C3,4076
POL036123,35,C14,7788
POL034876,56,C19,27742
POL031739,51,C2,27003
POL037008,40,C5,34738
POL023427,35,C11,6108
POL039320,46,C3,4076
POL016845,56,C19,27742
POL058131,54,C1,4990
POL031785,35,C2,27003
POL044536,35,C9,17804
POL009912,48,C10,73430
POL015494,49,C8,8794
POL031188,41,C19,27742
POL026696,36,C2,27003
POL002502,56,C5,34738
POL054594,54,C4,21622
POL006570,37,C12,34791
POL054844,47,C13,5410
POL000531,36,C8,8794
POL001072,45,C15,290
POL035451,50,C6,13051
POL043898,36,C3,4076
POL020183,41,C12,34791
POL040228,45,C3,4076
POL004176,44,C15,290
POL031307,51,C13,5410
POL031995,41,C8,8794
POL049205,54,C5,34738
POL021586,50,C8,8794
POL057438,39,C10,73430
POL008462,45,C8,8794
POL058389,43,C8,8794
POL017732,35,C4,21622
POL010729,40,C3,4076
POL049051,55,C11,6108
POL015691,35,C5,34738
POL052073,59,C5,34738
POL000580,50,C3,4076
POL054606,52,C13,5410
POL036607,35,C8,8794
POL054687,36,C5,34738
POL020999,37,C5,34738
POL055597,40,C10,73430
POL033900,36,C7,6112
POL040406,43,C2,27003
POL034343,49,C10,73430
POL047726,39,C8,8794
POL044073,44,C9,17804
POL004165,45,C17,65567
POL044189,43,C8,8794
POL034105,40,C5,34738
POL013436,59,C13,5410
POL055521,50,C8,8794
POL036509,58,C7,6112
POL002360,45,C8,8794
POL016335,36,C3,4076
POL006115,59,C13,5410
POL038656,39,C11,6108
POL053071,50,C2,27003
POL022689,36,C10,73430
POL012165,48,C14,7788
POL012306,40,C8,8794
POL002112,35,C10,73430
POL020110,50,C3,4076
POL046032,50,C2,27003
POL039371,51,C13,5410
POL013433,40,C2,27003
POL055328,48,C8,8794
POL053218,42,C2,27003
POL043278,45,C19,27742
POL025255,38,C9,17804
POL021543,39,C8,8794
POL041511,50,C9,17804
POL009922,40,C13,5410
POL026566,40,C8,8794
POL055304,43,C7,6112
POL009490,41,C2,27003
POL007131,42,C7,6112
POL010024,39,C10,73430
POL027682,52,C8,8794
POL024922,45,C2,27003
POL050096,45,C8,8794
POL030420,52,C8,8794
POL007808,40,C10,73430
POL054982,53,C14,7788
POL050071,48,C2,27003
POL001189,56,C5,34738
POL057128,53,C13,5410
POL028978,44,C8,8794
POL043713,40,C9,17804
POL014649,46,C10,73430
POL033846,40,C3,4076
POL036657,46,C2,27003
POL018216,47,C14,7788
POL002335,37,C9,17804
POL049365,40,C13,5410
POL039847,56,C10,73430
POL058125,47,C10,73430
POL031851,46,C3,4076
POL010331,43,C8,8794
POL018637,40,C14,7788
POL042200,41,C7,6112
POL035469,48,C19,27742
POL003771,58,C3,4076
POL037834,45,C17,65567
POL052326,63,C8,8794
POL047086,48,C5,34738
POL053357,43,C5,34738
POL034044,51,C3,4076
POL047089,58,C8,8794
POL015191,64,C10,73430
POL020776,44,C14,7788
POL032739,52,C12,34791
POL027007,35,C14,7788
POL012032,42,C10,73430
POL049060,46,C13,5410
POL054405,40,C8,8794
POL037876,56,C8,8794
POL012290,42,C7,6112
POL043607,35,C8,8794
POL044366,39,C2,27003
POL020943,49,C8,8794
POL019252,40,C8,8794
POL055019,41,C2,27003
POL017502,44,C5,34738
POL027717,35,C7,6112
POL029611,39,C16,16206
POL042171,36,C2,27003
POL044128,39,C5,34738
POL003846,48,C14,7788
POL001841,54,C2,27003
POL051908,51,C8,8794
POL015197,40,C13,5410
POL026807,39,C3,4076
POL042432,56,C13,5410
POL033361,49,C2,27003
POL013787,39,C13,5410
POL037238,36,C3,4076
POL053748,40,C8,8794
POL047658,41,C8,8794
POL054006,49,C10,73430
POL025902,45,C8,8794
POL054588,37,C13,5410
POL011769,39,C3,4076
POL020096,42,C13,5410
POL001900,42,C22,16733
POL009128,47,C5,34738
POL007820,40,C8,8794
POL055288,50,C5,34738
POL042926,36,C2,27003
POL033161,41,C5,34738
POL048518,38,C18,35036
POL042605,48,C13,5410
POL033532,44,C17,65567
